Complexity,Rating,Playtime,Price,Components,Genre
2.2,5.7,30,36,142,Family
4.5,7.5,180,45,386,Euro
1.6,7.2,15,60,40,Party
3.3,6.2,30,25,120,Party
3.9,5.3,60,30,190,Card
2.6,8.2,45,25,256,Party
3,7.9,60,75,547,Family
3.5,7.7,15,20,120,Card
3.8,5.9,60,55,90,Euro
1.7,5,30,20,82,Family
3.1,7.8,90,45,30,Family
4,7,90,75,150,Euro
2.2,6,45,60,240,Card
1.9,7,30,40,22,Party
3.6,7.9,120,80,35,Card
3.2,6.9,60,35,65,Family
3.3,6.3,90,55,50,Euro
3.5,8,120,45,130,Euro
2.5,7.2,120,80,650,Party
3.2,7,45,25,85,Card
